Uid,Sid,Key,Time,Value,UpdateTime
6804018672,hlth.gen_125884730179666,calories,1748440500,"{""time"":1748440500,""calories"":0.59999996}",1748446318
6804018672,hlth.gen_125884730179666,steps,1748440500,"{""time"":1748440500,""steps"":15,""distance"":9,""calories"":0.59999996}",1748446316
6804018672,893061509,intensity,1748440440,"{""time"":1748440440}",1748488483
6804018672,893061509,calories,1748440440,"{""time"":1748440440,""calories"":3}",1748488483
6804018672,hlth.gen_125884730179666,calories,1748440380,"{""time"":1748440380,""calories"":0.48}",1748446318
6804018672,hlth.gen_125884730179666,steps,1748440380,"{""time"":1748440380,""steps"":12,""distance"":7,""calories"":0.48}",1748446316
6804018672,893061509,intensity,1748440380,"{""time"":1748440380}",1748488483
6804018672,893061509,calories,1748440380,"{""time"":1748440380,""calories"":3}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748440320,"{""time"":1748440320,""steps"":19,""distance"":11,""calories"":0.76}",1748446316
6804018672,893061509,calories,1748440320,"{""time"":1748440320,""calories"":3}",1748488483
6804018672,hlth.gen_125884730179666,calories,1748440320,"{""time"":1748440320,""calories"":0.76}",1748446318
6804018672,893061509,calories,1748440260,"{""time"":1748440260,""calories"":3}",1748488483
6804018672,893061509,heart_rate,1748440200,"{""time"":1748440200,""bpm"":97}",1748488478
6804018672,893061509,calories,1748440200,"{""time"":1748440200,""calories"":2}",1748488483
6804018672,893061509,calories,1748440140,"{""time"":1748440140,""calories"":3}",1748488483
6804018672,893061509,calories,1748440080,"{""time"":1748440080,""calories"":3}",1748488483
6804018672,893061509,calories,1748440020,"{""time"":1748440020,""calories"":2}",1748488483
6804018672,893061509,intensity,1748439960,"{""time"":1748439960}",1748488483
6804018672,893061509,calories,1748439960,"{""time"":1748439960,""calories"":4}",1748488483
6804018672,893061509,calories,1748439900,"{""time"":1748439900,""calories"":3}",1748488483
6804018672,893061509,calories,1748439840,"{""time"":1748439840,""calories"":3}",1748488483
6804018672,893061509,calories,1748439780,"{""time"":1748439780,""calories"":2}",1748488483
6804018672,893061509,calories,1748439720,"{""time"":1748439720,""calories"":3}",1748488483
6804018672,893061509,calories,1748439660,"{""time"":1748439660,""calories"":2}",1748488483
6804018672,893061509,calories,1748439600,"{""time"":1748439600,""calories"":3}",1748488483
6804018672,893061509,heart_rate,1748439600,"{""time"":1748439600,""bpm"":80}",1748488478
6804018672,893061509,calories,1748439540,"{""time"":1748439540,""calories"":2}",1748488483
